i	sec	n	dark	bright	color
0	1.7933	26250	56	26073	121
1	3.2822	26250	26250	0	0
2	4.3713	26250	26250	0	0
3	6.4474	26250	26250	0	0
4	7.3042	26250	26250	0	0
5	8.1325	26250	26250	0	0
6	9.0278	26250	26250	0	0
7	9.9473	26250	26250	0	0
8	10.7913	26250	26250	0	0
9	11.6103	26250	26250	0	0
10	12.4439	26250	26250	0	0
11	13.2446	26250	26250	0	0
12	14.0670	26250	26250	0	0
13	14.8771	26250	26250	0	0
14	15.6667	26250	26250	0	0
15	16.4759	26250	26250	0	0
