i	sec	n	dark	bright	color
0	0.8911	26250	56	26073	121
1	1.7104	26250	26250	0	0
2	2.5892	26250	26250	0	0
3	3.4833	26250	26250	0	0
4	4.3852	26250	26250	0	0
5	5.1523	26250	26250	0	0
6	5.9183	26250	26250	0	0
7	6.6913	26250	26250	0	0
8	7.4765	26250	26250	0	0
9	8.2697	26250	26250	0	0
10	9.0426	26250	26250	0	0
11	9.8092	26250	26250	0	0
12	10.6872	26250	26250	0	0
13	11.6259	26250	26250	0	0
14	12.4618	26250	26250	0	0
15	13.1996	26250	26250	0	0
16	13.9773	26250	26250	0	0
