i	sec	n	dark	bright	color
0	2.0000	26250	56	26073	121
1	3.0271	26250	26250	0	0
2	4.0908	26250	26250	0	0
3	4.9525	26250	26250	0	0
4	6.0692	26250	26250	0	0
5	6.8814	26250	26250	0	0
6	7.7168	26250	26250	0	0
7	8.6253	26250	26250	0	0
8	9.4756	26250	26250	0	0
9	10.2483	26250	26250	0	0
10	11.0146	26250	26250	0	0
11	11.8596	26250	26250	0	0
12	12.7407	26250	26250	0	0
13	13.5262	26250	26250	0	0
14	14.3865	26250	26250	0	0
