ok  	github.com/agentmirror/agentmirror/cmd/agentmirrord	0.722s
ok  	github.com/agentmirror/agentmirror/internal/api	49.335s
ok  	github.com/agentmirror/agentmirror/internal/bridge	21.956s
ok  	github.com/agentmirror/agentmirror/internal/config	2.085s
ok  	github.com/agentmirror/agentmirror/internal/discovery	3.006s
ok  	github.com/agentmirror/agentmirror/internal/overlay	1.437s
ok  	github.com/agentmirror/agentmirror/internal/pairing	4.173s
ok  	github.com/agentmirror/agentmirror/internal/protocol	3.704s
ok  	github.com/agentmirror/agentmirror/internal/provider	4.576s
ok  	github.com/agentmirror/agentmirror/internal/tsnetd	1.679s
