ok  	github.com/agentmirror/agentmirror/cmd/agentmirrord	2.138s
ok  	github.com/agentmirror/agentmirror/internal/api	43.509s
ok  	github.com/agentmirror/agentmirror/internal/bridge	19.549s
ok  	github.com/agentmirror/agentmirror/internal/config	2.346s
ok  	github.com/agentmirror/agentmirror/internal/discovery	0.805s
ok  	github.com/agentmirror/agentmirror/internal/overlay	1.751s
ok  	github.com/agentmirror/agentmirror/internal/pairing	1.283s
ok  	github.com/agentmirror/agentmirror/internal/protocol	0.757s
ok  	github.com/agentmirror/agentmirror/internal/provider	1.789s
ok  	github.com/agentmirror/agentmirror/internal/tsnetd	2.701s
