ok  	github.com/agentmirror/agentmirror/cmd/agentmirrord	4.135s
ok  	github.com/agentmirror/agentmirror/internal/api	46.692s
ok  	github.com/agentmirror/agentmirror/internal/bridge	20.214s
ok  	github.com/agentmirror/agentmirror/internal/config	1.455s
ok  	github.com/agentmirror/agentmirror/internal/discovery	3.360s
ok  	github.com/agentmirror/agentmirror/internal/overlay	2.929s
ok  	github.com/agentmirror/agentmirror/internal/pairing	2.277s
ok  	github.com/agentmirror/agentmirror/internal/protocol	1.865s
ok  	github.com/agentmirror/agentmirror/internal/provider	3.523s
ok  	github.com/agentmirror/agentmirror/internal/tsnetd	1.033s
