ok  	github.com/agentmirror/agentmirror/cmd/agentmirrord	1.192s
ok  	github.com/agentmirror/agentmirror/internal/api	42.331s
ok  	github.com/agentmirror/agentmirror/internal/bridge	18.105s
ok  	github.com/agentmirror/agentmirror/internal/config	0.789s
ok  	github.com/agentmirror/agentmirror/internal/discovery	2.037s
ok  	github.com/agentmirror/agentmirror/internal/overlay	0.857s
ok  	github.com/agentmirror/agentmirror/internal/pairing	2.830s
ok  	github.com/agentmirror/agentmirror/internal/protocol	2.658s
ok  	github.com/agentmirror/agentmirror/internal/provider	1.991s
ok  	github.com/agentmirror/agentmirror/internal/tsnetd	2.430s
