i	sec	n	dark	bright	color
0	1.6507	26250	26250	0	0
1	2.5106	26250	26250	0	0
2	3.4065	26250	26250	0	0
3	4.4604	26250	26250	0	0
4	5.6861	26250	26250	0	0
5	6.7791	26250	26250	0	0
6	7.8954	26250	26250	0	0
7	8.7163	26250	26250	0	0
8	9.5459	26250	26250	0	0
9	10.3930	26250	26250	0	0
10	11.2532	26250	26250	0	0
11	12.1133	26250	26250	0	0
12	12.9722	26250	26250	0	0
13	14.1192	26250	26250	0	0
14	15.2910	26250	26250	0	0
15	16.3883	26250	26250	0	0
