i	sec	n	dark	bright	color
0	1.6255	26250	26250	0	0
1	2.5614	26250	26250	0	0
2	3.3829	26250	26250	0	0
3	4.1931	26250	26250	0	0
4	5.1138	26250	26250	0	0
5	6.1563	26250	26250	0	0
6	7.0287	26250	26250	0	0
7	7.8683	26250	26250	0	0
8	8.6967	26250	26250	0	0
9	9.4990	26250	26250	0	0
10	10.3421	26250	26250	0	0
11	11.3813	26250	26250	0	0
12	12.2438	26250	26250	0	0
13	13.0379	26250	26250	0	0
14	13.9414	26250	26250	0	0
15	15.0144	26250	26250	0	0
16	16.0552	26250	26250	0	0
