i	sec	n	dark	bright	color
0	2.0358	26250	0	26116	134
1	3.0955	26250	26250	0	0
2	3.9665	26250	26250	0	0
3	4.8041	26250	26250	0	0
4	5.6474	26250	26250	0	0
5	6.5932	26250	26250	0	0
6	7.4284	26250	26250	0	0
7	8.3419	26250	26250	0	0
8	10.3395	26250	26250	0	0
9	11.8918	26250	26250	0	0
10	12.9849	26250	26250	0	0
11	13.9546	26250	26250	0	0
12	14.9335	26250	26250	0	0
13	15.8041	26250	26112	0	138
