i	sec	n	dark	bright	color
0	1.8894	26250	26250	0	0
1	2.8614	26250	26250	0	0
2	3.7391	26250	26250	0	0
3	4.5439	26250	26250	0	0
4	5.4102	26250	26250	0	0
5	6.1904	26250	26250	0	0
6	7.1289	26250	26250	0	0
7	8.2098	26250	26250	0	0
8	9.1749	26250	26250	0	0
9	10.0691	26250	26250	0	0
10	11.1294	26250	26250	0	0
11	12.1320	26250	26250	0	0
12	13.0090	26250	26250	0	0
13	13.8256	26250	26250	0	0
14	14.6833	26250	26250	0	0
15	15.5064	26250	26250	0	0
16	16.4831	26250	26250	0	0
