i	sec	n	dark	bright	color
0	1.7738	26250	26250	0	0
1	2.5917	26250	26250	0	0
2	3.4004	26250	26250	0	0
3	4.2341	26250	26250	0	0
4	5.0478	26250	26250	0	0
5	5.8977	26250	26250	0	0
6	6.7311	26250	26250	0	0
7	7.7160	26250	26250	0	0
8	8.7339	26250	26250	0	0
9	9.8935	26250	26250	0	0
10	10.9574	26250	26250	0	0
11	11.9584	26250	26112	0	138
