i	sec	n	dark	bright	color
0	1.7270	26250	0	0	26250
1	2.6234	26250	26250	0	0
2	3.5442	26250	26250	0	0
3	4.3911	26250	26250	0	0
4	5.2149	26250	26250	0	0
5	6.0488	26250	26250	0	0
6	6.8981	26250	26250	0	0
7	7.7208	26250	26250	0	0
8	8.5945	26250	26250	0	0
9	9.8040	26250	26250	0	0
10	10.7885	26250	26250	0	0
11	11.7283	26250	26250	0	0
12	12.6536	26250	26250	0	0
13	13.4894	26250	26250	0	0
14	14.3918	26250	26250	0	0
15	15.2245	26250	26250	0	0
16	16.0418	26250	26250	0	0
