i	sec	n	dark	bright	color
0	1.6093	26250	26250	0	0
1	2.4566	26250	26250	0	0
2	3.2851	26250	26250	0	0
3	4.0776	26250	26250	0	0
4	4.9006	26250	26250	0	0
5	5.9008	26250	26250	0	0
6	6.7704	26250	26250	0	0
7	7.5656	26250	26250	0	0
8	8.3882	26250	26250	0	0
9	9.3004	26250	26250	0	0
10	10.2039	26250	26250	0	0
11	11.0479	26250	26250	0	0
12	11.8990	26250	26250	0	0
13	12.7142	26250	26250	0	0
14	13.5663	26250	26250	0	0
15	14.4288	26250	26250	0	0
16	15.4220	26250	26250	0	0
17	16.2741	26250	26250	0	0
