i	sec	n	dark	bright	color
0	1.7117	26250	26250	0	0
1	2.6752	26250	26250	0	0
2	3.5777	26250	26250	0	0
3	4.4401	26250	26250	0	0
4	5.2626	26250	26250	0	0
5	6.1175	26250	26250	0	0
6	6.8996	26250	26250	0	0
7	7.7114	26250	26250	0	0
8	8.5792	26250	26250	0	0
