i	sec	n	dark	bright	color
0	1.5712	26250	26250	0	0
1	2.4004	26250	26250	0	0
2	3.1944	26250	26250	0	0
3	4.1011	26250	26250	0	0
4	5.1136	26250	26250	0	0
5	6.1694	26250	26250	0	0
6	7.0710	26250	26250	0	0
7	7.9819	26250	26250	0	0
8	8.7666	26250	26250	0	0
9	9.5778	26250	26250	0	0
10	10.3738	26250	26250	0	0
11	11.1792	26250	26250	0	0
12	12.0664	26250	26250	0	0
13	12.8707	26250	26250	0	0
14	13.7412	26250	26250	0	0
15	14.7339	26250	26250	0	0
16	15.5587	26250	26250	0	0
17	16.3764	26250	26250	0	0
