i	sec	n	dark	bright	color
0	1.5891	26250	26250	0	0
1	2.4273	26250	26250	0	0
2	3.3283	26250	26250	0	0
3	4.2531	26250	26250	0	0
4	5.0808	26250	26250	0	0
5	5.9246	26250	26250	0	0
6	6.9516	26250	26250	0	0
7	7.8901	26250	26250	0	0
8	8.6942	26250	26250	0	0
